page_start,page_end,date,start_time,end_time,room,track,title
1,1,2026-07-15,11:00:00,12:00:00,International Ballroom East,3DSIG: Structural Bioinformatics and Computational Biophysics,Conformational dynamics and functional substates during enzyme evolution
1,1,2026-07-15,12:00:00,12:20:00,International Ballroom East,3DSIG: Structural Bioinformatics and Computational Biophysics,A Unified Deep Learning Framework for Predicting DNA Structure
1,1,2026-07-15,12:20:00,12:40:00,International Ballroom East,3DSIG: Structural Bioinformatics and Computational Biophysics,BiMba: Predicting Protein Binding Sites using Vision Mamba
1,2,2026-07-15,12:40:00,13:00:00,International Ballroom East,3DSIG: Structural Bioinformatics and Computational Biophysics,Investigating the physiological substrates of a putative bacterial serotonin transporter in the gut
2,2,2026-07-15,14:20:00,14:30:00,International Ballroom East,3DSIG: Structural Bioinformatics and Computational Biophysics,Deciphering Protein Mutation-Phenotype Linkages from CRISPR-based Tiling Mutagenesis Screens
2,2,2026-07-15,14:30:00,14:40:00,International Ballroom East,3DSIG: Structural Bioinformatics and Computational Biophysics,Multiscale modelling and biophysical validation define a coiled-coil dimeric scaffold in FAZ10 from Trypanosoma brucei
2,2,2026-07-15,14:40:00,14:50:00,International Ballroom East,3DSIG: Structural Bioinformatics and Computational Biophysics,Protein Language Models Capture Structural and Functional Epistasis
2,3,2026-07-15,14:50:00,15:00:00,International Ballroom East,3DSIG: Structural Bioinformatics and Computational Biophysics,Generalizable and scalable protein stability prediction with SPURS
3,3,2026-07-15,15:00:00,15:20:00,International Ballroom East,3DSIG: Structural Bioinformatics and Computational Biophysics,When Does Protein Structure Help? A Reliability Bottleneck in Mutation-Effect Prediction
3,3,2026-07-15,15:20:00,15:30:00,International Ballroom East,3DSIG: Structural Bioinformatics and Computational Biophysics,Func2Seq and Func2Prot: Function-Conditioned Protein Generation for Variant-Effect Prediction and Controllable Design
3,4,2026-07-15,15:30:00,15:40:00,International Ballroom East,3DSIG: Structural Bioinformatics and Computational Biophysics,Simpatico: accurate and ultra-fast virtual drug screening with atomic embeddings
4,4,2026-07-15,15:40:00,16:00:00,International Ballroom East,3DSIG: Structural Bioinformatics and Computational Biophysics,Learning a PRECISE language for small-molecule binding
4,4,2026-07-15,16:40:00,17:00:00,International Ballroom East,3DSIG: Structural Bioinformatics and Computational Biophysics,JointDiff: Simultaneous Generation of Sequence and Structure for Functional Protein Design
4,4,2026-07-15,17:00:00,17:20:00,International Ballroom East,3DSIG: Structural Bioinformatics and Computational Biophysics,Thermal Stability- and Binding Affinity-Guided Protein Design with ESM3
4,5,2026-07-15,17:20:00,17:40:00,International Ballroom East,3DSIG: Structural Bioinformatics and Computational Biophysics,AlloPep: A Pipeline for De Novo Design of Allosteric Peptides
5,5,2026-07-15,17:40:00,18:00:00,International Ballroom East,3DSIG: Structural Bioinformatics and Computational Biophysics,Machine Learning-Guided Engineering of Selective Protease Inhibitors by Deep Mutational Scanning
5,5,2026-07-16,08:40:00,08:50:00,International Ballroom East,3DSIG: Structural Bioinformatics and Computational Biophysics,A Hybrid Deep Learning Pipeline for RNA 3D Structure Reconstruction from Cryo-EM Density Maps
5,5,2026-07-16,08:50:00,09:00:00,International Ballroom East,3DSIG: Structural Bioinformatics and Computational Biophysics,RNAbpFlow: Base pair-augmented SE(3)-flow matching for conditional generation of RNA 3D structures
5,6,2026-07-16,09:00:00,09:20:00,International Ballroom East,3DSIG: Structural Bioinformatics and Computational Biophysics,Using MutPred2 Predictions of Molecular Mechanisms to Identify Drug Repurposing Candidates for Genetic Disease
